image	caption
/content/MediaEval_NewsImages/Training Dataset/UVdfAVpZXRZ-XR8FAA5WUVQERXtXQFZc.jpg	Report reveals US crimes against indigenous children After a new investigation by the US government, hundreds of indigenous children died in the government's boarding school. However, the investigations have not yet been completed  the final number of victims should be far higher.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVtfXREpUUFXBgtWCwlRRH4DTVFS.jpg	Poland's Prime Minister calls for Entputinisation of Russia – according to Nazi Germany As a bitter Putin critic, Poland's head of government Mateusz Morawiecki warned again about the danger to the world that is emerging from Moscow. He again drew parallels between the Russian Head of State and Adolf Hitler and accused him of conquests in the West.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVpYXBB-XR8FAA5WWA5SRXldTF9T.jpg	They destroy the world domination of the US dollar: Russian Chief Financial Committee on US sanctions Anatoli Aksakow, Chairman of the State Duma Committee declared.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVhcAxApUUFXBgtWCw4HQS1cTFUD.jpg	Lockdowns in China: German foreign trade is severely affected Due to the strict corona measures in China, only few German companies can accept In addition, the crisis around the war in Ukraine and the recovery of capacity in other countries have an impact.
/content/MediaEval_NewsImages/Training Dataset/UVdfAV5VBEIpUUFXBgtUCF9WQChTGAYG.jpg	US-Corona-Papst Fauci and the license payments of pharmaceutical companies In the United States, too, the volume of public funding, private donors and personal benefits involved in Corona policy is opaque. A complaint to file release now brought some light into the dark.
/content/MediaEval_NewsImages/Training Dataset/UVdfAFtYBkV-XR8FAA5TWFsERy9QTAJd.jpg	The wish was the father of the newspaper senate: Image and Focus invent coalition eclipse in the Bundestag At least three German mainstream products reported on Friday The FDP should have left the meeting of the Defence Committee for protest, they hurriedly reported. RT reveals what really happened.
/content/MediaEval_NewsImages/Training Dataset/UVdfAF1dARN-XR8FAA5TW19RQi8GHQZd.jpg	Art and Wine: Moscow Mayor allows the sale of alcohol in museums A new decree of Moscow City Hall allows the sale of beer and wine in museums – first until the end of this year. This initiative is an attempt to support companies in the new economic situation.
/content/MediaEval_NewsImages/Training Dataset/UVdfAF0PVhd-XR8FAA5QDVoBQ39TTV8H.jpg	To plunder Syrian resources: USA allow some investments in Northern Syria On Thursday, the United States approved some foreign investments in the under Kurdish separatists controlled areas in northern Syria. Furthermore, however, any transactions with the government in Damascus will remain prohibited due to US sanctions.
/content/MediaEval_NewsImages/Training Dataset/UVdfAFFfV0N-XR8FAA5TWl4HR3tVGlID.jpg	RT team injured in Ukrainian shooting in Donetsk People's Republic The film team of the RT-war reporter Walentin Gorschenin was hit by a Ukrainian rocket near Dokutschajewsk (DVR). Two cameramen suffered srapnel wounds on the legs and on the back.
/content/MediaEval_NewsImages/Training Dataset/UVdfAFxdAxYpUUFXBgtTCl1XQygBTl5W.jpg	Finland's NATO representative: Russia no direct military threat to Finland Finland's permanent representative at NATO Klaus Korhonen declared that However, Helsinki is preparing an application for membership of NATO. Moscow warns against a deterioration of the security situation.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVgMV0F-XR8FAA5SCltURC4HSV8D.jpg	Review of the Victory Day: Why the 9th May is so important for the Russians May 9 is a special holiday for the Russians. The great attention they give this date often seems strange to people from other countries and cultures. To say that for the Russians of the Second World War only came to an end yesterday, is not far from the truth.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVlcVkF-XR8FAA5WUVwERXJVSVZT.jpg	Is Germany ready for the blackout? Since last year, possible blackouts have been reported regularly in Germany. Experts come to word and paint the medium-term future black – with very likely system failures. Does the population in this country know that it and the whole country are completely unprepared for the worst-case scenario?
/content/MediaEval_NewsImages/Training Dataset/UVdfAFEOVEspUUFXBgtTCA8AQHIDGlQB.jpg	Germany: No plans for the end of masquerade in transport In Germany, there is no end to the masquerade obligation in transport, as government spokesman Steffen Lift Streit announced on Friday. Previously, Transport Minister Volker Wissing had declared himself an end to the masquerade in buses, trains and aircraft.
/content/MediaEval_NewsImages/Training Dataset/UVdfAF8LVhR-XR8FAA5TW19RQi8GHQFU.jpg	US Congress delays 40 billion US dollar aid package for Ukraine A US senator has blocked the rapid adoption of an aid package for Ukraine in the total value of $40 billion in the US Senate. The reason is his aspiration to include a supplement to the law project by a supervisory authority, which is rejected by both US parties.
/content/MediaEval_NewsImages/Training Dataset/UVdfAAgPVUspUUFXBgtTC14EQXoBHANW.jpg	South Ossetia decides on 17. July joining Russia The Republic of South Ossetia will be held on 17. July hold a referendum on joining the Russian Federation. This shared the office of the current President of South Ossetia Anatoli Bibilow. Bibilow has signed a corresponding decree.
/content/MediaEval_NewsImages/Training Dataset/UVdfAF0OVhR-XR8FAA5QDVoBQ39TTV8A.jpg	140,000 years of Ukraine? – Russian UN ambassador on absurdities of Ukrainian education In the UN Security Council, the permanent representative of Russia at the United Nations, Wassili Nachsja, addressed the current educational programmes of Ukraine. History and geography lessons are driving strange flowers there. On the other hand, a nationalist rewriting of European history is being carried out.
/content/MediaEval_NewsImages/Training Dataset/UVdfAFFUU0opUUFXBgtTCl1XQygBTgJR.jpg	Fascist statement – Responses to Morawiecki's demand for extinction of the Russian world Poland's Prime Minister Morawiecki would have to be the ideology of Russian The responses from Russia to this attack did not wait long – it is fascist, hateful and criminal.
/content/MediaEval_NewsImages/Training Dataset/UVdfBF9ZV0p-XR8FAA5UWVQAQHNTHQUB.jpg	Chinese experts: Ukraine conflict shows crisis Western expansion Chinese experts according to the Ukraine conflict reflecting the expansion crisis of a The West can only accept likeness – he either attempts to assimilate or consider it as an enemy to eliminate it.
/content/MediaEval_NewsImages/Training Dataset/UVdfA15fBkJ-XR8FAA5TWl4HR3tVGgZT.jpg	Germany opposes the green EU label for nuclear power The European dispute about the promotion of nuclear energy and its classification as climate-neutral continues: Germany has once again announced that a veto should be placed against the European Commission's proposal for a decision which would favour the construction of nuclear power stations.
/content/MediaEval_NewsImages/Training Dataset/UVdfA15bUkt-XR8FAA5TXlxXR3tRHFJW.jpg	Competition Finals in NRW – Parties Fight for every Voice North Rhine-Westphalia is on Sunday before an exciting state election. CDU and SPD are very close together in the surveys. In the final line to the election, therefore, every voice is fought.
/content/MediaEval_NewsImages/Training Dataset/UVdfAF1aU0MpUUFXBgtVDQkBRnkHT1VX.jpg	Do you need to take – Söder, Scheuer and the Schrottmasken of a Passau company As a crisis manager in the emergency, three CSU politicians are seeing themselves for a local deal. The opposition criticises the fact that in the midst of the crisis, the administration was busy for months with complaints from scrap masks.
/content/MediaEval_NewsImages/Training Dataset/UVdfAw0OUkZ-XR8FAA5WCwhXQy4BSlVU.jpg	Batman boycotts Russia – bad luck for him Hollywood forces the Russian audience by largely withdrawing from the Russian market. The media manager and TV producer Tina Kandelaki sees a chance for the local cinema industry.
/content/MediaEval_NewsImages/Training Dataset/UVdfAwhYUEJ-XR8FAA5TWl4HR3tVGgQB.jpg	They provoke a global crisis: Putin calls Western sanctions against Russia a threat Russia enforced the penalty and economic war defied by the West better it was expected However, the global economic crisis caused by the sanctions also poses a new challenge to Russia. In the case of successful import substitution, economic growth in the country can be expected again next year, economists hope.
/content/MediaEval_NewsImages/Training Dataset/UVdfAw9bUEIpUUFXBgtXXwkGRH8AHAUG.jpg	Inacceptable and outrageous – Turkey reaffirms concerns about NATO acceptance in Finland and Sweden The Turkish Foreign Ministry has reaffirmed President Erdogan's criticism of a possible NATO accession to Sweden and Finland at a NATO meeting. Luxembourg's Foreign Minister, on the other hand, is confident that it will be possible to remove the reservations of Turkey.
/content/MediaEval_NewsImages/Training Dataset/UVdQVVlbU0p-XR8FAA5WXQ8DR3JdHFYA.jpg	Joe Biden's Minister of Truth is just another propaganda instrument The so-called advocates of freedom and democracy have given themselves the right to determine what is truth. Is it a direct implementation of George Orwell's novel 1984?
/content/MediaEval_NewsImages/Training Dataset/UVdfAwtaBEcpUUFXBgtWClQBQ3NQS1NV.jpg	US Investment Bank: Russian economy stronger than expected due to war According to Wall Street Bank JPMorgan Chase, the Russian economy is apparently better off than expected. According to this, the latest survey figures do not indicate an abrupt fall in Russia's economic activity.
/content/MediaEval_NewsImages/Training Dataset/UVdfAF9VAEopUUFXBgtTXAlXQylQQVRQ.jpg	Recruits heat, ignore favors – the cynical Ukrainian tactics of the Gemetzel Kiev has an enormous mobilization potential, but has no need to train new Rather, the inexperienced and badly trained soldiers are thrown into the cold water at the front. Whoever survives has value as a fighter. The favors take care of Kiev.
/content/MediaEval_NewsImages/Training Dataset/UVdQVVBVXEMpUUFXBgtUDQgBQH1XTAQB.jpg	Doctoral newspaper: 94 percent of readers give Lauterbach an inconvenient The medical paper from Springer Medizin Verlag GmbH asked her readers for a school note for the first months of Karl Lauterbach as Federal Health Minister. Almost 65,000 participants showed themselves disappointed and gave the minister a smooth six.
/content/MediaEval_NewsImages/Training Dataset/UVdQVQgMUEYpUUFXBgtUWlxQQygES1BW.jpg	Parliament elections in Lebanon: between mistrust, disappointment and hope In Lebanon, a new parliament is elected – for the first time since the explosion disaster in the port of the capital Beirut soon two years ago. The economic situation in the country is difficult, the mood in the population is bad.
/content/MediaEval_NewsImages/Training Dataset/UVdQVVAPUhZ-XR8FAA5WW1oDRH4GTVEA.jpg	Subsequent to the Finnish urge to NATO Finland's NATO accession is as good as it is decided. The sudden rejection of the country, which was proud of its neutrality policy for a long time, provokes amazement. The motives are not to be understood without a look at history.
/content/MediaEval_NewsImages/Training Dataset/UVdQVQtVVkspUUFXBgtXWg5TRShUQQNV.jpg	The world image comes together: About the movie Life and Death in Donbass Life and death in Donbass means the new document Wilhelmar The spectator is taken into the harsh reality of the war in Ukraine, which has lasted since 2014. On Friday the movie was listed in Cologne.
